,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa.miR.486.5p,-942.339737549698,395.955377574371,-10.8438386005891,8.64859563598223e-26,2.29360756266249e-22,47.2120198441306
hsa.miR.139.3p,-94.9921172982787,40.7116704805492,-10.3919945569983,6.28099845263591e-24,8.32860394819521e-21,42.9648853156824
hsa.miR.139.5p,-314.958839886931,149.725400457666,-10.1306045753643,7.03202235852119e-23,6.21630776493273e-20,40.572274091035
hsa.miR.378a.5p,-570.479419943466,494.907322654462,-9.58579938823746,9.2630502972689e-21,6.14140234708928e-18,35.7414566969937
hsa.miR.4770,-2.51336382230598,0.695652173913043,-8.63799580890838,2.69781258680894e-17,1.38135413954016e-14,27.8592964485382
hsa.miR.328.3p,-108.434306988716,68.0091533180778,-8.6197357094718,3.12523560981937e-17,1.38135413954016e-14,27.7141574695827
hsa.miR.133a.3p,-603.698986509779,217.173913043478,-8.3723942128735,2.23412686175191e-16,8.46414919623724e-14,25.7738003190002
hsa.miR.6507.5p,-2.26017512007906,0.669336384439359,-8.32471284880194,3.24658019761633e-16,1.07624133550981e-13,25.405265495951
hsa.miR.885.5p,-2.26318571461403,0.723112128146453,-7.92678075614478,6.85522031435842e-15,2.02000491929761e-12,22.4000720315928
hsa.miR.551b.3p,-15.339438788408,5.23226544622426,-7.58972135248711,8.23062729007769e-14,2.1827623573286e-11,19.9544523005935
hsa.miR.3622a.3p,-1.29924390412061,0.421052631578947,-7.51789480294502,1.38146623735758e-13,3.33058951042938e-11,19.4453048245388
hsa.miR.490.5p,-7.65803323144808,2.31578947368421,-7.33970383186244,4.90313365770414e-13,1.08359253835261e-10,18.2005855012587
hsa.miR.197.3p,-926.851837381931,968.636155606407,-7.22666675690553,1.08053565404672e-12,2.20429273425532e-10,17.4246652545099
hsa.miR.4454,-6.80909153586285,1.07551487414188,-7.04779100245426,3.69309013458061e-12,6.99576788350556e-10,16.2186740777478
hsa.miR.6511b.3p,-7.45885137774917,6.55949656750572,-7.02876769862582,4.20224053225864e-12,7.42956126103328e-10,16.0920022174221
hsa.miR.30c.2.3p,-88.5293130788499,71.7070938215103,-6.96069675905135,6.65467704389277e-12,1.10301272002523e-09,15.6412390050677
hsa.miR.4732.3p,-1.3915841242847,0.711670480549199,-6.93427125942385,7.94660828199371e-12,1.23967089199102e-09,15.4673076374905
hsa.miR.6510.3p,-32.1179647461678,4.13157894736842,-6.86239076509678,1.28382831900418e-11,1.89150705666616e-09,14.9971934372148
