,logFC,AveExpr,t,P.Value,adj.P.Val,B
KRT24,-4.25832539354124,-4.92611099816934,-13.5565202286075,3.79618795065744e-38,1.71597107405958e-35,75.8033913433213
MAL,-4.14075121736608,-0.686420724510297,-11.7544362868725,1.00033089970126e-29,1.39931198361024e-27,56.6621916507531
MYOC,-5.18884097827233,-2.95188913691076,-11.5587725219128,7.31015919554558e-29,8.82625071082485e-27,54.7004509487725
SERTM1,-3.04420784024143,-5.12668904705606,-11.4512607219289,2.15824406391996e-28,2.50095676008692e-26,53.6328099314714
FAM180B,-2.7904920207947,-4.47406359617849,-11.3893667707072,4.01173179438935e-28,4.45074382341026e-26,53.0215134067712
ADH7,-4.29411440053859,-4.8115368332357,-11.1350950126836,4.99098774327187e-27,4.90093491235646e-25,50.5360701662168
LYVE1,-2.58943454473429,1.17152586651373,-11.1128504280152,6.21018183990693e-27,6.03794529110613e-25,50.3206316717117
MAMDC2,-3.74940867440551,-0.110108054676201,-10.7925677000149,1.39354272714344e-25,1.15135678944276e-23,47.2548447628693
VEGFD,-2.99996261893662,-2.16803830087986,-10.7663632747476,1.79205146381227e-25,1.47171553773592e-23,47.0070314824811
PCARE,-2.33447546180612,-5.26999813600686,-10.6571452916133,5.08702694660768e-25,3.96911467681465e-23,45.9791375228428
CMTM5,-2.66595031565761,-4.34687794614416,-10.6160675313347,7.51593201429914e-25,5.70949863225127e-23,45.5946226821324
AC103563.7,-2.43290367320777,-5.32959053010297,-10.5963569437611,9.06042447726544e-25,6.79780407111157e-23,45.4105247841024
P2RX2,-3.00431381521958,-3.62864715607551,-10.5714018715288,1.14748432670051e-24,8.43570635065652e-23,45.1778217431879
GPX3,-2.09812869353986,4.86187557437071,-10.5152383817593,1.94976562295372e-24,1.39584333439076e-22,44.6556551972974
GPM6B,-1.93751675987129,1.6387720340635,-10.461914846252,3.21895131080319e-24,2.245670177862e-22,44.1618866150915
CITED2,-1.19594957782732,4.94892288787185,-10.4027867955718,5.59967110893524e-24,3.78583450312995e-22,43.6166491687043
PMP2,-3.04198950346807,-4.025866542,-10.3565181331027,8.62168262775981e-24,5.68833451538387e-22,43.1916705241992
AQP4,-3.31656763191227,-4.36680641096373,-10.2464684489731,2.39233289283432e-23,1.49712411411411e-21,42.1868128713866
PGM5.AS1,-3.4520139910737,-3.7665498478833,-10.2458061606273,2.40701064714321e-23,1.50458796966283e-21,42.1807910099504
RXRG,-2.73648936998993,-3.06350668822883,-10.2330527978377,2.707729519794e-23,1.68294620551287e-21,42.064890541087
