,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa.miR.21.5p,593491.930526509,888123.06979405,6.35903127689962,3.27154585327526e-10,3.77223460995044e-08,11.8291733438565
hsa.miR.4677.3p,13.9497621400501,24.6132723112128,5.17507213268305,2.82852466206607e-07,1.97401247468401e-05,5.25552526174665
hsa.miR.335.3p,398.606347528325,549.057208237986,5.15246397293725,3.18039332428249e-07,2.13614326546292e-05,5.14226273961654
hsa.miR.146b.5p,1288.54981269965,2061.20366132723,4.95713443735719,8.59549418489737e-07,5.06561123963285e-05,4.18316972907758
hsa.miR.185.5p,99.9362719187362,214.234553775744,4.71094993560908,2.86802188395407e-06,0.000152119880724924,3.02434959115971
hsa.miR.196a.5p,696.117987727806,871.640732265446,4.39163479430731,1.26313233852302e-05,0.000540294671252103,1.60501569152652
hsa.miR.200a.5p,2782.95649575989,5521.76201372998,4.37920149139597,1.3357321996712e-05,0.000562279649766351,1.5516745461479
hsa.let.7f.1.3p,5.89458322800082,12.4427917620137,4.34878543355471,1.53052379285873e-05,0.000614992287675962,1.42179427551081
hsa.miR.21.3p,4674.14733527911,10700.6281464531,4.34270639602921,1.57258087732349e-05,0.000615419472294403,1.39593996410809
hsa.miR.98.3p,2.72530048491257,4.50343249427918,4.34193461382796,1.57799864690872e-05,0.000615419472294403,1.39266003104053
hsa.miR.3613.5p,23.3774733987544,40.7711670480549,4.29152596270046,1.97315509095628e-05,0.000754804436332431,1.17964209031316
hsa.miR.301a.3p,16.4178291545055,28.4977116704805,4.27044897177991,2.16495492756737e-05,0.000808656403930799,1.09128141434578
hsa.miR.556.3p,1.58318203755198,2.0720823798627,4.26362937407461,2.23073082507101e-05,0.00082165252056782,1.06278106921929
hsa.miR.135b.5p,211.823937673799,260.884439359268,4.24338769955502,2.43737109233215e-05,0.00088546686806368,0.978444731088484
hsa.miR.6755.5p,1.64927722749523,2.66247139588101,4.2102082990655,2.81606419816257e-05,0.00098265819125357,0.841036868457753
hsa.miR.181a.3p,236.910831245834,433.129290617849,4.2050506186162,2.87974414290349e-05,0.00099182876194546,0.819770046603011
hsa.miR.141.5p,1314.43060694505,2434.77917620137,4.13707984051731,3.85804422419284e-05,0.0012631522571061,0.541844114800451
hsa.miR.183.5p,16464.8039206674,24245.4038901602,4.11890094575099,4.16900023972892e-05,0.00133207091997122,0.46825030638407
hsa.miR.151a.3p,3974.82120285891,8907.20022883295,4.10183406006775,4.4824978232748e-05,0.00141518859849104,0.399441969655255
hsa.miR.181b.3p,29.3090800450441,44.0411899313501,4.06949135072452,5.13902020221377e-05,0.0016033743030907,0.269800489001394
hsa.miR.671.5p,7.73800933054488,15.0800915331808,3.94593049229076,8.58814659375353e-05,0.00247562660506895,-0.216370910235556
hsa.miR.17.5p,1588.72394456829,2864.0995423341,3.9286440518254,9.21775234195072e-05,0.00262854615170466,-0.283234632130647
hsa.miR.194.5p,28663.3218808172,57939.6853546911,3.91950659679335,9.56795553382947e-05,0.00267097032375955,-0.318463717008312
hsa.miR.135b.3p,4.8062418127916,6.36384439359268,3.91227333092824,9.85406405175311e-05,0.0027221851942968,-0.346295121563659
hsa.miR.5586.5p,3.8940546503344,6.69565217391304,3.87272963594331,0.000115667156610184,0.00309847777101221,-0.497569560724524
hsa.miR.92a.1.5p,14.1621124721348,22.4919908466819,3.85477134536479,0.000124340869669196,0.00329751986362708,-0.565778771117174
hsa.miR.182.5p,34632.2153839082,52610.7528604119,3.81261833365379,0.000147174359925264,0.00378938254875534,-0.724680396699823
hsa.miR.106b.5p,480.496954933008,1091.35926773455,3.77090158680513,0.000173623623597989,0.00442740240174873,-0.880273473580657
hsa.miR.6854.5p,1.62436513225932,2.73340961098398,3.76543102696808,0.000177407038691514,0.00448079492009424,-0.900554434456184
hsa.miR.7705,2.56376255371959,4.10640732265446,3.75684515647653,0.000183501941670392,0.00459101084254604,-0.932327290788352
hsa.miR.19b.1.5p,21.1307884999885,44.604118993135,3.67488747084647,0.000252477479154984,0.00603216463710827,-1.23208316749914
hsa.miR.454.3p,11.7100636591364,26.9244851258581,3.66458057655933,0.000262702727989542,0.00622042530918094,-1.26932648731048
hsa.miR.98.5p,74.5397237607154,192.245995423341,3.64868925965845,0.000279233183855929,0.00649584564549057,-1.32655000714053
hsa.miR.550a.5p,11.958656033829,21.3466819221968,3.62885276541523,0.000301238420551152,0.00688693354570392,-1.39764134743217
hsa.miR.1307.5p,615.834922896604,1239.43363844394,3.59916990797568,0.000337224015595658,0.00751527806184609,-1.50331833100426
hsa.miR.106a.5p,43.4537494541862,74.8752860411899,3.56796938572597,0.000379368120957243,0.00831474592379014,-1.61349015175132
hsa.miR.501.3p,85.9563808516998,188.121281464531,3.5494398376673,0.00040668045651536,0.00878194785507187,-1.67847871230096
hsa.miR.16.1.3p,6.98354514742719,17.5411899313501,3.52870602158577,0.000439418380722565,0.00924871067997017,-1.75080853004081
hsa.miR.29a.5p,16.1885643370947,34.8295194508009,3.52419884279361,0.000446853795464252,0.009331151697411,-1.76647731461237
hsa.miR.3682.3p,1.77572219796383,3.40389016018307,3.49261639665833,0.0005023485773085,0.0103273521474585,-1.87572458257998
hsa.miR.421,6.53041619745823,12.0778032036613,3.45349292001139,0.000580019995378707,0.011398878033774,-2.00973085287943
hsa.miR.532.5p,1969.9839588169,4493.18306636156,3.45337997117772,0.000580259628416096,0.011398878033774,-2.01011560080666
hsa.miR.29b.1.5p,12.6728793693839,28.7723112128146,3.42836029127883,0.000635677244849368,0.0120415432381466,-2.09504061637531
hsa.miR.103a.3p,23938.471583205,62825.1647597254,3.41622969549126,0.000664286171783843,0.0124942335288706,-2.13599948428609
hsa.miR.500a.3p,491.809620113529,1131.38215102975,3.40755015620711,0.000685487217449278,0.0128021978920809,-2.16521913678226
hsa.miR.18a.5p,62.3254659527038,111.961098398169,3.40465507055832,0.000692697870883513,0.0128463968782033,-2.1749493403523
hsa.miR.5000.3p,2.86328223749226,6.19908466819222,3.39060187709708,0.000728713708621628,0.0133279224501004,-2.22206681862444
hsa.miR.95.3p,22.1175740583274,40.8329519450801,3.36575944078215,0.000796675495400306,0.0143726762843647,-2.30489401717186
hsa.miR.26a.1.3p,7.63751062900743,9.96681922196796,3.35320764786596,0.000833211921226726,0.014741373109604,-2.34651729244686
hsa.miR.301b.3p,3.56268241674903,5.27116704805492,3.35275976925699,0.000834543957410415,0.014741373109604,-2.3479997123054
hsa.miR.581,1.04552662422723,1.73684210526316,3.35115042407566,0.000839346658955584,0.014741373109604,-2.35332484274753
hsa.miR.3662,2.16928274308827,3,3.34612286140959,0.000854516132557428,0.0148655823273515,-2.36994439479013
hsa.miR.192.5p,67697.3617769401,164341.181922197,3.34479243111466,0.000858572791804044,0.0148655823273515,-2.3743383126598
hsa.miR.576.5p,17.1333164801324,40,3.34327054026689,0.000863235172855252,0.0148655823273515,-2.37936246538084
hsa.miR.4444,2.02943947785719,4.24599542334096,3.33355313014494,0.000893563750904324,0.0152885875316017,-2.41138958534716
hsa.miR.335.5p,26.2472824213454,49.6933638443936,3.32713166354629,0.000914145281804212,0.0155404697906716,-2.43250390310491
hsa.miR.345.3p,1.22397904074643,1.9233409610984,3.31862252939231,0.000942096243037189,0.0159136257104116,-2.46042150020186
hsa.miR.20a.5p,980.891250890538,1824.84324942792,3.3054939644177,0.000986780749637246,0.0164587581637609,-2.50335822739157
hsa.miR.639,1.01585732999332,1.99199084668192,3.28473034063289,0.00106148199696552,0.0175940640997034,-2.57092639842919
hsa.miR.130b.3p,37.1414979431434,80.2288329519451,3.24890931625295,0.00120279282315967,0.0195693654418371,-2.6865172111689
hsa.miR.32.3p,2.02399282972906,4.2974828375286,3.24459029998766,0.00122095984336718,0.0197438140524985,-2.70037067381819
hsa.miR.15a.5p,196.466389354905,532.363844393593,3.2401661543617,0.00123983201677113,0.0199274818695579,-2.71454269317065
hsa.miR.222.5p,16.2474203111714,36.5263157894737,3.23683462305553,0.00125422111368269,0.0200373156234125,-2.72520224342933
hsa.miR.181b.5p,442.819272401352,852.211670480549,3.23048681976419,0.00128206608208255,0.0203595164651672,-2.74548301006143
hsa.miR.148b.5p,3.56992163261553,9.16475972540046,3.21326579243062,0.00136051158648491,0.0214766471866546,-2.80030714933678
hsa.miR.16.5p,572.515799875897,1884.7414187643,3.20257273499466,0.00141142840746854,0.0217622566081778,-2.83420510199874
hsa.miR.200b.3p,2798.36067382161,7239.89244851259,3.19807283322115,0.00143337699831818,0.021972923696762,-2.84843720095152
hsa.miR.942.3p,2.19610231425092,4.0629290617849,3.19094308317291,0.00146879899890256,0.0221340028253379,-2.8709468506214
hsa.miR.188.5p,9.41017626916094,18.3489702517162,3.19091835160101,0.00146892326442665,0.0221340028253379,-2.87102484634902
hsa.miR.96.5p,39.840346563096,70.2734553775744,3.17948724264671,0.0015274099213858,0.0226295592822075,-2.90701180569524
hsa.let.7d.5p,267.973846896329,824.780320366133,3.17410970409111,0.00155566040825796,0.022920063348334,-2.92389751315965
hsa.miR.708.3p,100.366396249396,175.902745995423,3.1579987109916,0.00164320879299917,0.0239438995551308,-2.97431953777518
hsa.miR.629.5p,126.016868522051,356.073226544622,3.15070188074237,0.00168433573872782,0.0244090621809081,-2.99707366969286
hsa.miR.4661.5p,11.8040815388505,17.3901601830664,3.14350279132288,0.00172583944230089,0.0248745989183802,-3.01947258842929
hsa.miR.374b.3p,3.41346264334798,8.11212814645309,3.13417398051182,0.00178102273516304,0.0254805345875379,-3.04842331478179
hsa.miR.107,81.1730747133043,258.439359267735,3.13316355032675,0.00178709631722551,0.0254805345875379,-3.05155400156513
hsa.miR.17.3p,602.551398432652,1555.40846681922,3.12834891878762,0.00181629931674783,0.0256217381567085,-3.06645795626536
hsa.miR.744.3p,22.2046285018271,47.8581235697941,3.10634950892342,0.00195540862820126,0.027293387799946,-3.13427313976318
hsa.miR.500b.3p,3.13189161859677,6.50800915331808,3.07575773288661,0.00216516738160772,0.0299063744584567,-3.22779693600368
hsa.miR.128.3p,151.002160273941,448.392448512586,3.07057329427048,0.00220269855287462,0.030193663261563,-3.24355682208887
hsa.miR.590.5p,22.7397329533702,59.0022883295195,3.06547269853399,0.00224020477725148,0.0302257339069258,-3.25903644854016
hsa.miR.548o.3p,1.25808379105095,2.95537757437071,3.0650436518073,0.00224338626555942,0.0302257339069258,-3.26033739966594
hsa.miR.19a.3p,107.104267690116,177.816933638444,3.06465038054097,0.00224630611224326,0.0302257339069258,-3.26152971626449
hsa.miR.224.5p,126.266196309149,215.703661327231,3.06270003741677,0.00226083806545573,0.0302257339069258,-3.2674405379709
hsa.miR.503.5p,20.9955875255671,30.4771167048055,3.06145758301237,0.00227014049560857,0.0302257339069258,-3.27120407125598
hsa.miR.452.3p,14.1138740146623,23.2391304347826,3.04584238642399,0.00239008679295216,0.0313787632421244,-3.31837680506318
hsa.miR.301b.5p,2.18690965918231,2.95995423340961,3.04202801325729,0.00242025647064946,0.0316183259121298,-3.32986395164104
hsa.miR.151a.5p,98.1121274101987,307.275743707094,3.03755155943356,0.00245610798338444,0.0318872650860892,-3.34332700855819
hsa.miR.577,113.564612874313,179.772311212815,3.03139768661816,0.00250618861840554,0.0322641369709296,-3.36180326461604
hsa.miR.181b.2.3p,4.81311332245538,6.6533180778032,2.99027273840378,0.00286561445227521,0.0360171067650894,-3.48433387611806
hsa.miR.191.5p,918.37404913474,2350.87185354691,2.96934136632186,0.00306611626899692,0.0381753067858208,-3.54606866492445
hsa.miR.93.5p,8218.3842300002,20466.9210526316,2.9611724379784,0.00314778391650544,0.0390089857316469,-3.57004673767378
hsa.miR.502.5p,2.78001976420842,5.40389016018307,2.95654460370174,0.00319492664812688,0.0394090487015464,-3.58360198898076
hsa.miR.769.5p,20.5681980097901,62.3020594965675,2.92180390673992,0.00356992285526059,0.0431341323977162,-3.68469627282669
