File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
696d0cbf-cb2a-40b9-94b0-60bee7bad0cc	e0897bf4-b37e-42bb-94bb-8a6015ce106c.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-SARC	TCGA-WK-A8XS	TCGA-WK-A8XS-01A	Primary Tumor
aeb32892-1d0d-458c-9363-751cb1b18fc5	aef064ca-b48c-4ae1-ac36-387cd2b45282.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-SARC	TCGA-FX-A3NK	TCGA-FX-A3NK-01A	Primary Tumor
4be1eb27-ecff-4b12-bb68-a2a4b891bc31	68d32810-05e5-4afa-bdf8-85ee0207d5bd.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-HF-7136	TCGA-HF-7136-01A	Primary Tumor
2d52a11f-ddf4-4ab6-8953-b01d53ef4906	98657690-8061-4d83-a6aa-d5d847215cdc.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-CD-5803	TCGA-CD-5803-01A	Primary Tumor
cb2c5543-1c69-4812-b5e3-73fd6a05d27e	12530f0f-ad19-4ac3-84ca-4dce21821157.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-HU-A4H8	TCGA-HU-A4H8-01A	Primary Tumor
e2db1097-a516-4c8a-92ee-aa656cf4cde3	b4b74700-3f1f-4e50-b14a-a226021a35ae.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-BR-8295	TCGA-BR-8295-01A	Primary Tumor
02aac149-0270-47bb-98c2-571dca2252db	4ca78337-6b41-4621-89de-719898a901e2.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-MX-A5UG	TCGA-MX-A5UG-01A	Primary Tumor
bfd79bd0-5a98-474d-82e9-a58f72d06dbe	74dda470-561e-46e8-b8f5-1db35a1a8d57.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-B7-A5TN	TCGA-B7-A5TN-01A	Primary Tumor
d6114107-e511-4c25-863e-34cd52ab32d9	9516aae8-b543-4e34-8613-cffdeb2801a2.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-BR-7716	TCGA-BR-7716-01A	Primary Tumor
1f5f5ed3-863d-43ca-affc-ad18c9bdf27f	34b806ce-6297-46e6-ab58-2dc72561d429.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-HF-7134	TCGA-HF-7134-01A	Primary Tumor
7a679f33-b63f-46cd-8f36-a820e83e36fd	c38e3ae0-0caf-480b-8cb8-c1166cbe7e69.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-BR-8384	TCGA-BR-8384-01A	Primary Tumor
f7de5e33-11f7-4b7e-8029-2da8b7b5f9ab	deded0df-18ed-4053-8e1c-9c62bf9343b5.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-IN-8462	TCGA-IN-8462-11A	Solid Tissue Normal
7cf74918-7047-49f5-a9cb-305e7347503f	c89c737f-374c-4363-9df4-d5601ef89aef.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-BR-A44T	TCGA-BR-A44T-01A	Primary Tumor
840bf5f8-5cf6-46d0-ab42-a7bd2c73c0dd	97cd9b12-e487-4cb3-beed-840aff195a8e.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-HU-A4G2	TCGA-HU-A4G2-01A	Primary Tumor
b65affbd-f12a-4e02-9718-8997d4ecd22f	97a0b501-75f2-4c26-88b6-23ad547f9366.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-BR-8367	TCGA-BR-8367-01A	Primary Tumor
88b762ea-eda0-45c4-be86-d3bf6a5f40b9	487a1c8b-7927-4639-9eb8-d060b10afa27.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-STAD	TCGA-BR-4368	TCGA-BR-4368-01A	Primary Tumor
