,0
0,1
1,2
2,0
3,1
4,2
5,1
6,0
7,0
8,0
9,1
10,1
11,2
12,0
13,2
14,0
15,1
16,2
17,1
18,2
19,1
20,1
21,1
22,2
23,2
24,0
25,1
26,1
27,2
28,1
29,1
30,2
31,1
32,1
33,1
34,1
35,2
36,2
37,2
38,0
39,2
40,0
41,2
42,1
43,1
44,1
45,0
46,0
47,2
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,2
58,0
59,1
60,1
61,2
62,1
63,2
64,1
65,1
66,2
67,0
68,2
69,1
70,1
71,1
72,1
73,1
74,2
75,0
76,0
77,1
78,0
79,1
80,1
81,2
82,1
83,1
84,0
85,1
86,0
87,2
88,0
89,0
90,0
91,0
92,1
93,2
94,1
95,0
96,1
97,0
98,2
99,2
100,2
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,2
110,2
111,1
112,2
113,2
114,0
115,1
116,0
117,2
118,1
119,0
120,1
121,2
122,2
123,0
124,2
125,0
126,1
127,2
128,1
129,1
130,2
131,2
132,0
133,1
134,2
135,1
136,2
137,0
138,0
139,2
140,2
141,1
142,2
143,1
144,2
145,1
146,1
147,2
148,1
149,1
150,1
151,1
152,2
153,1
154,2
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,2
163,2
164,1
165,1
166,0
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,2
185,2
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,0
194,2
195,2
196,1
197,1
198,1
199,0
200,2
201,2
202,2
203,1
204,0
205,2
206,1
207,1
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,1
218,2
219,0
220,1
221,2
222,2
223,1
224,2
225,1
226,0
227,0
228,1
229,0
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,2
240,1
241,2
242,0
243,1
244,1
245,2
246,1
247,1
248,2
249,1
250,2
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,2
261,0
262,1
263,1
264,0
265,2
266,1
267,2
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,2
300,0
301,2
302,0
303,2
304,0
305,0
306,1
307,1
308,2
309,2
310,1
311,1
312,2
313,2
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,2
323,1
324,2
325,1
326,1
327,1
328,2
329,1
330,1
331,2
332,1
333,1
334,1
335,1
336,2
337,2
338,2
339,1
340,1
341,2
342,0
343,1
344,1
345,1
346,2
347,1
348,0
349,2
350,0
351,1
352,0
353,0
354,2
355,2
356,2
357,0
358,1
359,2
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,1
377,2
378,0
379,2
380,1
381,2
382,2
383,2
384,1
385,1
386,0
387,1
388,1
389,2
390,0
391,1
392,1
393,2
394,2
395,1
396,1
397,1
398,1
399,1
400,2
401,0
402,1
403,2
404,1
405,1
406,1
407,1
408,2
409,1
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,2
419,1
420,0
421,1
422,1
423,2
424,0
425,1
426,1
427,1
428,1
429,0
430,1
431,0
432,2
433,1
434,0
435,1
436,2
437,1
438,2
439,1
440,1
441,1
442,2
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,2
454,2
455,1
456,0
457,0
458,1
459,2
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,2
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,0
483,1
484,1
485,0
486,1
487,1
488,1
489,1
490,1
491,2
492,1
493,0
494,1
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,2
503,2
504,1
505,2
506,1
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,2
