,hsa.miR.200b.3p,hsa.miR.200a.5p,hsa.miR.1976,hsa.miR.197.3p,hsa.miR.942.3p,hsa.miR.556.3p,hsa.miR.1295a,hsa.miR.181b.5p,hsa.miR.181b.3p,hsa.miR.181a.3p,hsa.miR.135b.5p,hsa.miR.135b.3p,hsa.miR.29c.5p,hsa.miR.29c.3p,hsa.miR.29b.2.5p,hsa.miR.215.3p,hsa.miR.194.5p,hsa.miR.4677.3p,hsa.miR.605.5p,hsa.miR.107,hsa.miR.6507.5p,hsa.miR.146b.5p,hsa.miR.1307.5p,hsa.miR.202.5p,hsa.miR.192.5p,hsa.miR.194.3p,hsa.miR.139.5p,hsa.miR.139.3p,hsa.miR.326,hsa.miR.708.3p,hsa.miR.6755.5p,hsa.miR.1304.5p,hsa.miR.141.5p,hsa.miR.196a.5p,hsa.miR.148b.5p,hsa.let.7i.3p,hsa.miR.3613.5p,hsa.miR.16.5p,hsa.miR.16.1.3p,hsa.miR.15a.5p,hsa.miR.17.5p,hsa.miR.17.3p,hsa.miR.18a.5p,hsa.miR.19a.3p,hsa.miR.20a.5p,hsa.miR.19b.1.5p,hsa.miR.92a.1.5p,hsa.miR.5586.5p,hsa.miR.3173.5p,hsa.miR.345.3p,hsa.miR.628.3p,hsa.miR.629.5p,hsa.miR.6511b.3p,hsa.miR.365a.3p,hsa.miR.484,hsa.miR.328.3p,hsa.miR.195.5p,hsa.miR.195.3p,hsa.miR.497.5p,hsa.miR.4521,hsa.miR.744.3p,hsa.miR.451a,hsa.miR.144.5p,hsa.miR.144.3p,hsa.miR.4732.3p,hsa.miR.193a.5p,hsa.miR.365b.3p,hsa.miR.6510.3p,hsa.miR.454.3p,hsa.miR.301a.3p,hsa.miR.21.5p,hsa.miR.21.3p,hsa.miR.3615,hsa.miR.133a.3p,hsa.miR.133a.5p,hsa.miR.1.3p,hsa.miR.3940.3p,hsa.miR.639,hsa.miR.642a.5p,hsa.miR.769.5p,hsa.let.7e.3p,hsa.miR.125a.5p,hsa.miR.1301.3p,hsa.miR.548ba,hsa.miR.3682.3p,hsa.miR.5000.3p,hsa.miR.128.3p,hsa.miR.4444,hsa.miR.1258,hsa.miR.153.3p,hsa.miR.149.5p,hsa.miR.103a.3p,hsa.miR.548o.3p,hsa.miR.802,hsa.miR.185.5p,hsa.miR.1306.5p,hsa.miR.301b.3p,hsa.miR.301b.5p,hsa.miR.130b.3p,hsa.miR.3199,hsa.miR.885.5p,hsa.miR.26a.1.3p,hsa.miR.425.5p,hsa.miR.191.5p,hsa.miR.16.2.3p,hsa.miR.551b.3p,hsa.miR.378d,hsa.miR.95.3p,hsa.miR.574.3p,hsa.miR.576.5p,hsa.miR.577,hsa.miR.4454,hsa.miR.887.5p,hsa.miR.581,hsa.miR.143.3p,hsa.miR.145.5p,hsa.miR.145.3p,hsa.miR.378a.5p,hsa.miR.6720.3p,hsa.miR.5683,hsa.miR.219a.5p,hsa.miR.133b,hsa.miR.30c.2.3p,hsa.miR.30a.5p,hsa.miR.30a.3p,hsa.miR.3662,hsa.miR.339.5p,hsa.miR.196b.5p,hsa.miR.550a.5p,hsa.miR.590.5p,hsa.miR.590.3p,hsa.miR.93.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.96.5p,hsa.miR.183.5p,hsa.miR.183.3p,hsa.miR.335.5p,hsa.miR.335.3p,hsa.miR.29a.5p,hsa.miR.29b.1.5p,hsa.miR.490.5p,hsa.miR.490.3p,hsa.miR.671.5p,hsa.miR.671.3p,hsa.miR.3622a.3p,hsa.miR.486.5p,hsa.miR.4661.5p,hsa.miR.7705,hsa.miR.151a.5p,hsa.miR.151a.3p,hsa.miR.491.5p,hsa.miR.204.5p,hsa.let.7f.1.3p,hsa.let.7d.5p,hsa.let.7d.3p,hsa.miR.6854.5p,hsa.miR.32.3p,hsa.miR.181b.2.3p,hsa.miR.4770,hsa.miR.222.5p,hsa.miR.532.5p,hsa.miR.188.5p,hsa.miR.500a.3p,hsa.miR.501.3p,hsa.miR.500b.3p,hsa.miR.502.5p,hsa.miR.98.5p,hsa.miR.98.3p,hsa.miR.421,hsa.miR.374b.3p,hsa.miR.766.3p,hsa.miR.106a.5p,hsa.miR.542.3p,hsa.miR.503.5p,hsa.miR.504.5p,hsa.miR.224.5p,hsa.miR.452.3p
TCGA.3L.AA1B.01A,16812,9993,54,855,1,1,1,1758,30,652,380,3,111,16950,107,1,80185,29,2,256,6,1649,1022,5,144468,1059,219,59,14,397,4,5,4678,659,10,311,46,1065,31,773,3252,1964,100,277,3151,63,30,15,4,2,4,468,12,231,273,54,239,18,196,1,15,878,89,15,0,970,231,2,36,21,2312473,16318,21,539,4,913,3,2,12,66,70,4066,39,0,3,10,578,6,1,16,153,117464,1,0,252,23,2,1,52,3,4,3,1454,2409,35,0,3,128,316,16,64,0,3,1,1053412,33690,782,348,2,4,5,47,114,67083,15039,1,431,11117,18,76,30,46824,1441,185379,192,58740,10,125,1160,81,62,0,0,21,9,0,194,40,6,503,9621,7,155,12,633,1750,3,4,10,0,20,8337,32,2407,270,12,8,154,3,8,11,27,27,968,12,7,730,20
TCGA.3M.AB46.01A,9084,11855,32,2104,5,7,0,1261,40,500,279,7,51,5103,56,10,97789,43,2,390,0,590,1847,0,199928,1149,47,7,13,128,2,1,1629,5127,10,190,30,4467,43,1166,3214,1996,186,171,2010,68,28,0,3,1,6,278,4,131,495,28,141,4,63,0,26,3477,598,69,2,777,131,1,57,50,680969,12174,28,30,1,54,0,3,4,71,30,1292,22,0,5,4,692,3,3,17,81,99439,5,67,238,21,4,1,92,1,0,6,3989,5820,100,13,2,44,272,31,63,1,1,0,308160,9668,163,355,3,65,11,4,110,35677,8395,1,139,4613,20,78,29,31450,2282,34006,96,13594,1,61,700,13,11,0,5,31,17,0,712,17,9,293,8557,4,6,37,1880,1649,4,10,6,0,43,7766,71,2195,347,10,4,243,8,8,8,17,76,820,15,1,22,1
TCGA.4N.A93T.01A,17936,10836,50,1319,1,3,1,928,33,336,699,6,224,12032,111,7,248402,35,2,338,2,1196,3965,4,851607,2966,142,19,11,169,2,3,5533,2266,16,332,89,6003,45,1847,7854,2315,151,417,5487,119,29,6,1,0,12,226,9,145,413,77,157,16,113,0,41,4242,406,65,1,644,145,0,76,41,1123446,19907,87,158,0,269,3,0,115,88,36,2251,31,0,0,8,487,5,0,50,151,103083,2,0,337,19,9,3,181,1,0,13,2587,7152,119,3,14,88,380,58,81,0,1,2,278345,14064,260,2564,0,6,13,17,37,24205,4691,4,755,58216,46,107,32,35508,2023,159261,420,50917,7,137,1607,164,89,0,4,42,10,0,788,15,4,627,8778,9,2,24,1423,1986,3,17,9,0,58,11253,48,1836,156,3,12,174,4,2,11,42,89,755,37,0,537,55
TCGA.5M.AAT4.01A,5733,3771,23,984,2,1,0,671,40,329,391,6,63,1608,41,5,66475,23,1,189,0,1006,4319,0,204936,865,92,6,13,176,3,3,1683,1407,13,149,48,1168,17,429,4636,1855,177,218,2488,51,21,0,4,1,4,258,12,126,204,63,25,8,34,0,75,1049,92,6,0,348,126,1,22,43,580314,7780,23,93,3,123,1,2,2,159,18,929,19,1,1,9,994,2,1,12,73,53213,1,0,191,16,5,7,116,3,0,2,815,3083,38,0,0,39,206,45,94,0,2,2,299940,9212,179,411,3,4,2,4,28,13544,2829,4,184,6793,19,67,17,28882,1505,46836,103,26769,6,62,1189,60,48,0,19,13,5,0,93,11,4,369,6607,6,7,10,772,1464,2,7,8,0,35,7417,29,1229,183,10,9,239,12,16,7,34,95,947,31,2,447,37
TCGA.5M.AAT6.01A,5728,4300,43,2381,8,3,4,1558,86,1777,172,2,140,8036,106,26,13924,42,1,170,0,7821,1435,4,54017,391,301,40,19,912,3,7,664,145,20,738,134,2587,39,1158,5540,2215,221,400,3221,66,16,20,5,4,85,572,11,258,536,102,277,22,251,6,67,2804,152,20,0,1036,258,0,39,45,1685733,23359,32,37,2,69,3,1,12,86,109,2961,44,0,5,4,612,4,1,18,286,70882,3,0,506,32,11,6,180,2,0,8,2438,3920,58,11,3,70,915,65,233,0,1,3,184513,16995,255,666,0,35,12,4,120,28080,5881,10,590,2399,14,150,51,31227,1048,14075,58,8098,1,218,839,85,56,0,0,51,18,0,418,12,7,739,7577,14,331,16,1315,1902,7,7,8,0,71,3514,29,1667,219,8,13,256,5,10,12,52,72,1338,24,1,136,41
TCGA.5M.AATE.01A,14562,8565,27,1416,6,7,5,550,23,216,844,16,72,3888,68,4,80896,24,2,216,4,1792,1811,2,276460,1042,58,12,8,150,3,1,3708,2670,14,180,140,2413,37,1020,10997,3358,193,625,8395,131,65,5,6,0,13,445,7,219,344,87,100,5,70,1,39,1683,179,16,0,1322,219,0,54,17,771471,15778,53,190,2,199,0,1,8,78,35,1247,20,0,4,10,514,2,0,42,200,87209,5,0,236,21,7,1,160,0,0,6,1891,3773,54,1,0,110,205,79,162,0,0,2,224912,12416,140,463,0,5,8,12,37,13628,2714,18,832,24790,47,106,25,49074,1521,39948,119,16025,3,148,2060,103,68,0,0,22,9,0,219,33,4,566,6785,3,29,7,819,1247,3,7,4,0,37,12041,51,2999,316,12,18,193,3,11,9,8,368,776,29,7,988,73
TCGA.A6.2671.01A,3461,3985,9,142,0,1,0,204,32,122,38,5,33,780,21,0,13185,8,0,84,0,888,506,1,47059,97,102,9,4,66,0,0,834,591,5,62,22,1346,15,341,3728,985,64,103,1636,30,16,3,0,3,1,92,4,72,47,25,38,6,28,0,32,558,215,7,0,201,72,0,16,13,420799,5394,6,51,2,234,0,0,1,39,12,441,5,0,2,1,172,2,1,5,38,24675,1,0,51,7,1,1,21,1,0,25,720,1411,9,6,0,7,47,8,117,0,0,0,281054,6186,140,105,0,62,3,6,12,12988,2376,3,89,13585,3,23,15,13222,402,19470,24,10784,3,64,469,57,60,2,12,6,2,0,115,6,3,214,3386,3,23,0,289,521,2,0,7,2,28,2220,6,447,63,3,2,65,2,3,3,9,162,296,22,0,128,23
TCGA.A6.2681.01A,2552,2756,6,224,1,0,0,192,20,157,189,6,82,2254,46,7,35478,14,0,114,0,1301,498,0,78271,308,84,11,1,80,2,0,546,472,4,73,18,1175,7,207,2034,604,46,99,1103,27,12,4,1,3,0,186,5,51,71,28,39,3,25,0,29,1217,380,34,1,128,51,0,13,20,586322,6575,1,103,3,329,0,3,5,18,14,602,2,2,0,2,135,1,2,11,19,25570,4,0,87,3,0,0,22,0,0,10,547,815,13,2,0,18,38,25,80,1,0,1,524654,12443,303,133,1,4,1,22,14,19522,3281,0,29,5412,6,25,6,9210,437,33766,39,14774,1,23,283,28,13,2,42,6,0,0,219,6,4,114,3013,1,4,3,394,409,3,0,7,1,21,2638,2,395,52,1,1,104,1,3,1,9,109,531,50,2,185,12
TCGA.A6.2685.01A,1979,1950,10,246,0,1,0,396,33,193,82,2,84,2738,50,8,30589,15,0,105,0,1151,1241,1,108377,313,261,17,5,126,1,0,800,268,5,133,19,1040,6,118,788,314,14,46,421,32,7,4,0,5,2,225,4,85,129,45,92,8,61,0,26,842,239,24,0,254,85,0,13,12,627084,7289,4,217,6,479,0,0,10,33,27,1191,7,1,0,1,155,1,4,4,36,17011,0,0,68,7,2,0,10,0,2,32,287,888,7,3,4,17,119,19,33,0,1,2,801566,19025,492,195,1,23,3,42,36,29027,5013,0,43,5715,6,27,17,5388,303,18959,27,5160,1,31,163,40,50,12,117,4,6,1,139,7,0,142,3829,1,8,2,345,488,2,0,7,2,26,2298,3,395,66,2,0,98,3,4,6,20,66,327,27,9,180,18
TCGA.A6.2686.01A,1218,790,5,401,0,1,1,130,14,121,45,0,32,1618,16,7,44843,21,0,66,0,1438,914,0,164110,288,24,1,3,96,0,0,1456,277,5,78,9,1187,8,146,847,279,11,43,417,10,3,6,2,0,1,459,1,50,40,15,15,0,9,0,79,230,71,2,1,211,50,0,11,15,439043,5516,3,17,0,27,2,1,3,39,4,224,5,0,2,10,120,2,1,3,11,13458,1,0,45,9,3,2,26,0,0,19,174,555,14,2,3,2,27,44,344,0,1,1,141774,2100,66,131,0,1,2,1,3,6281,1143,1,20,3863,1,34,12,8121,406,38599,40,11956,2,41,680,37,13,1,7,5,4,0,48,12,1,94,2668,5,1,3,281,479,1,0,0,0,11,2026,6,262,47,1,2,52,1,2,2,4,49,152,9,0,334,16
